>
-56.3453  -25.9582
-56.2271  -25.7007
-56.0237  -25.2577
-55.8636  -24.9152
-55.7103  -24.6092
-55.5228  -24.3557
-55.2537  -23.9662
-54.9915  -23.6476
-54.6885  -23.2777
-54.3934  -22.9971
-54.0633  -22.6620
-53.7531  -22.3969
-53.5156  -22.0371
-53.1653  -21.6319
-52.9261  -21.1674
-52.5913  -20.5819
-52.3878  -20.0803
-52.2796  -19.6249
-52.1407  -19.2424
-52.1248  -18.8363
-52.1094  -18.4329
-52.1282  -18.0070
-52.1219  -17.8318
-52.1156  -17.6567
-51.9713  -17.5372
-51.7730  -17.3690
-51.4909  -17.2910
-51.2612  -17.2800
-51.0184  -17.2691
-50.7366  -17.2776
-50.3535  -17.3603
-50.1286  -17.4542
-49.9565  -17.5652
-49.8185  -17.6752
-49.6814  -17.8544
-49.5798  -18.1048
-49.5473  -18.3721
-49.4813  -18.5497
-49.3978  -18.7997
-49.2946  -18.9968
-49.1032  -19.2146
-48.9450  -19.3595
-48.7713  -19.5581
-48.6117  -19.6495
-48.4712  -19.7751
-48.2769  -19.9204
-48.0477  -20.1036
-47.8147  -20.2306
-47.6025  -20.3062
-47.4221  -20.3436
-47.2981  -20.3454
-47.1718  -20.4354
-47.1379  -20.6499
-47.1745  -20.8796
-47.3580  -21.1445
-47.5755  -21.4432
-47.7954  -21.6346
-47.9779  -21.8263
-48.1983  -21.9635
-48.3653  -22.1362
-48.7855  -22.3561
-49.1169  -22.4730
-49.4865  -22.6576
-49.7255  -22.7572
-49.9279  -22.8203
-50.1694  -22.9725
-50.4500  -23.1229
-50.7291  -23.2889
-50.9782  -23.5088
-51.2799  -23.7102
-51.5499  -23.9816
-51.7217  -24.1501
-51.8819  -24.3562
-52.0974  -24.5943
-52.3547  -24.9179
-52.6055  -25.1003
-52.9192  -25.3855
-53.1538  -25.5492
-53.4117  -25.8018
-53.7673  -26.0645
-54.0300  -26.3504
-54.2312  -26.5516
-54.4500  -26.7143
>
