AGBR -35.93617 -8.429541
CAUB -36.01030 -8.176670
CS6B -38.67090 -5.490000
FOR1 -38.75400 -3.773000
PFBR -38.27079 -6.321630
OCBR -38.39217 -4.581284
SBBR -40.37166 -3.745140
SLBR -35.74407 -6.781440
